Date,Open,High,Low,Close,Volume
30-06-2021,2067.37,2102.71,2049.7,2085.04,146560200
01-07-2021,2102.71,2120.38,2085.04,2111.55,87385400
02-07-2021,2111.55,2129.22,2093.88,2102.71,80422400
05-07-2021,2111.55,2111.55,2049.7,2067.37,29242400
06-07-2021,2085.04,2085.04,2032.03,2040.87,56066200
07-07-2021,2040.87,2058.54,2005.53,2032.03,96691000
08-07-2021,2067.37,2085.04,2032.03,2085.04,81459000
09-07-2021,2085.04,2085.04,2040.87,2040.87,50822400
12-07-2021,2076.21,2076.21,2040.87,2049.7,39692600
13-07-2021,2067.37,2085.04,2040.87,2040.87,65117000
14-07-2021,2049.7,2058.54,1996.69,2014.36,59225200
15-07-2021,2023.2,2085.04,2005.53,2076.21,94438400
16-07-2021,2076.21,2085.04,2058.54,2076.21,39567600
19-07-2021,2049.7,2067.37,2032.03,2032.03,31460200
21-07-2021,2058.54,2102.71,2049.7,2093.88,87100200
22-07-2021,2111.55,2155.72,2102.71,2138.05,55171400
23-07-2021,2120.38,2138.05,2102.71,2111.55,37457600
26-07-2021,2111.55,2120.38,2049.7,2049.7,77160200
27-07-2021,2067.37,2085.04,2032.03,2058.54,79279400
28-07-2021,2032.03,2085.04,2032.03,2085.04,41266000
29-07-2021,2085.04,2085.04,2032.03,2032.03,68168400
30-07-2021,2058.54,2058.54,2014.36,2014.36,92132400
02-08-2021,2040.87,2040.87,1987.86,2005.53,68571000
03-08-2021,2014.36,2049.7,1996.69,2040.87,70957400
04-08-2021,2058.54,2085.04,2040.87,2058.54,67410400
05-08-2021,2076.21,2146.89,2067.37,2138.05,140254000
06-08-2021,2146.89,2155.72,2102.71,2111.55,63682000
09-08-2021,2120.38,2129.22,2049.7,2049.7,50317400
10-08-2021,2049.7,2076.21,2040.87,2049.7,54893400
12-08-2021,2076.21,2102.71,2058.54,2093.88,51328800
13-08-2021,2111.55,2138.05,2085.04,2120.38,41771600
16-08-2021,2120.38,2138.05,2067.37,2111.55,53074000
18-08-2021,2120.38,2182.23,2093.88,2138.05,141229400
19-08-2021,2155.72,2155.72,2049.7,2067.37,101976800
20-08-2021,2085.04,2102.71,2049.7,2085.04,62841600
23-08-2021,2085.04,2120.38,2085.04,2111.55,46346200
24-08-2021,2102.71,2111.55,2049.7,2058.54,85217600
25-08-2021,2076.21,2111.55,2067.37,2102.71,60726800
26-08-2021,2067.37,2093.88,2058.54,2058.54,55050200
27-08-2021,2058.54,2076.21,2040.87,2049.7,35765000
30-08-2021,2067.37,2102.71,2058.54,2102.71,65062000
31-08-2021,2120.38,2155.72,2102.71,2155.72,135700400
01-09-2021,2155.72,2155.72,2120.38,2120.38,70082000
02-09-2021,2138.05,2155.72,2111.55,2138.05,51554400
03-09-2021,2155.72,2173.39,2120.38,2164.56,50760000
06-09-2021,2191.06,2235.24,2164.56,2191.06,51684400
07-09-2021,2208.73,2244.07,2199.9,2208.73,70448400
08-09-2021,2226.4,2226.4,2164.56,2208.73,84660600
09-09-2021,2226.4,2244.07,2164.56,2244.07,93331600
10-09-2021,2217.57,2226.4,2182.23,2191.06,107576800
13-09-2021,2155.72,2199.9,2138.05,2173.39,104806600
14-09-2021,2173.39,2191.06,2146.89,2155.72,84931400
15-09-2021,2182.23,2191.06,2155.72,2164.56,135497800
16-09-2021,2182.23,2191.06,2164.56,2173.39,61344200
17-09-2021,2164.56,2173.39,2138.05,2138.05,82452800
20-09-2021,2129.22,2146.89,2093.88,2129.22,57569200
21-09-2021,2129.22,2129.22,2093.88,2111.55,45153400
22-09-2021,2111.55,2155.72,2102.71,2146.89,26711200
23-09-2021,2164.56,2164.56,2129.22,2146.89,40606000
24-09-2021,2146.89,2155.72,2093.88,2111.55,50278400
27-09-2021,2120.38,2129.22,2085.04,2085.04,68500800
28-09-2021,2102.71,2129.22,2085.04,2102.71,64652200
29-09-2021,2102.71,2138.05,2093.88,2120.38,56467400
30-09-2021,2138.05,2173.39,2120.38,2173.39,82812000
